seq_label,lstm_ae_pred,lstm_ae_score
0,0,0.18121429102757425
0,0,0.16743603731153048
0,0,0.23077267649423372
0,0,0.22922874882259897
0,0,0.2597770615190306
0,0,0.27953192132810173
0,0,0.2802453813476564
0,0,0.2574347978017816
0,0,0.17949232326636577
0,0,0.18092789535916148
0,0,0.1688982248511781
0,0,0.07950008720303618
0,0,0.09518211697045871
0,0,0.09924167748282459
0,0,0.09027664932211871
0,0,0.09235329894537804
0,0,0.11055267568059256
0,0,0.19342418367842992
0,0,0.1943527002821561
0,0,0.1995490821807088
0,0,0.1694857323708595
0,0,0.12614744043005804
0,0,0.1179899678047468
0,0,0.12895365268329276
0,0,0.13561803240589443
0,0,0.11064767327906992
0,0,0.06290522580880419
0,0,0.06765174613674858
0,0,0.09587067291873586
0,0,0.1045061395723188
0,0,0.14414843661996027
0,0,0.13396495414865314
0,0,0.1266474729628279
0,0,0.15261607353685575
0,0,0.1980043029960161
0,0,0.20893998637955055
0,0,0.174715338012614
0,0,0.13756958842238548
0,0,0.14909136921882465
0,0,0.12981711320114972
0,0,0.13865133163840074
0,0,0.1323267383234441
0,0,0.12090359981625624
0,0,0.1561760117854782
0,0,0.1450871796334936
0,0,0.21361113940667964
0,0,0.2460126806459277
0,0,0.3001428543758405
0,0,0.26586917127701276
0,0,0.28728795929069023
0,0,0.34256087614615244
0,0,0.34901492250228655
0,0,0.2684776285717749
0,0,0.2705554205142258
0,0,0.21423231834664153
0,0,0.25156210327609624
0,0,0.294013979409558
0,0,0.37412757861333834
0,0,0.32821500561785566
0,0,0.26839683149980653
0,0,0.2799764282365431
0,0,0.36501094230479986
0,0,0.26186863729602705
0,0,0.231475509873495
0,0,0.28377597725176673
0,0,0.29074346390158634
0,0,0.33309876054498366
0,0,0.47568094793527665
0,0,0.5082927476485742
0,0,0.5459203649113509
0,0,0.4260098147865446
0,0,0.4267150879916655
0,0,0.5181660176935722
0,0,0.46848012627195246
0,0,0.4356693538946727
0,0,0.3787272630438696
0,0,0.4115649891586548
0,0,0.3380323670904761
0,0,0.31927823909166336
0,0,0.4327503049608682
0,0,0.40366352619690055
0,0,0.39362921652455746
0,0,0.40799588372159273
0,0,0.3875453873054312
0,0,0.371008572983782
0,0,0.45869337799209625
0,0,0.428414765957526
0,0,0.37612489143352656
0,0,0.3983569710948258
0,0,0.34365777619453397
0,0,0.30991648324693527
0,0,0.3453898531245244
0,0,0.3758097681994292
0,0,0.37019026056024384
0,0,0.48605491726113714
0,0,0.4158058481814305
0,0,0.35933126243858227
0,0,0.32346285764794974
0,0,0.29907485153999563
0,0,0.37023982776952724
0,0,0.2697721520209462
0,0,0.3846708268195071
0,0,0.4319684870332982
0,0,0.3833575770062011
0,0,0.36752244346147583
0,0,0.3739688331580598
0,0,0.4464711422096596
0,0,0.40748353196759385
0,0,0.5384429894807667
0,0,0.6090947495099286
0,0,0.4287828409667993
0,0,0.5374734944923705
0,0,0.4976328871935025
0,0,0.5164449646316785
0,0,0.431923274179718
0,0,0.5059303515618674
0,0,0.4812011636081582
0,0,0.40785696963561524
0,0,0.36331560762467735
0,0,0.3891606962485758
0,0,0.4047206455425629
0,0,0.36888078136018465
0,0,0.4151628193978212
0,0,0.465996252039549
0,0,0.39287901804881337
0,0,0.4608357206356122
0,0,0.47199814139504925
0,0,0.39779246406224583
0,0,0.37394999618178903
0,0,0.44601527714078804
0,0,0.4255630706105787
0,0,0.39073420302133766
0,0,0.41167949247248986
0,0,0.3365099054246897
0,0,0.40519142945516257
0,0,0.41783788046755704
0,0,0.32799076011778866
0,0,0.3223409283662751
0,0,0.3233618705515253
0,0,0.3804925488796238
0,0,0.30421529940162334
0,0,0.5477405877294883
0,0,0.5262748236136535
0,0,0.5184749754380651
0,0,0.4659622159499779
0,0,0.40172045101880777
0,0,0.4076541004372029
0,0,0.3577845572989312
0,0,0.28423651058630234
0,0,0.33060281198116964
0,0,0.3350843949976641
0,0,0.41259765399084736
0,0,0.3726574670382243
0,0,0.4630213963615077
0,0,0.4264771938218396
0,0,0.3593445975152342
0,0,0.442245758450293
0,0,0.436685539517643
0,0,0.31838701436559735
0,0,0.3084446065867417
0,0,0.25455123731079743
0,0,0.22658752084286138
0,0,0.19575250501822705
0,0,0.21575060441835495
0,0,0.2373234625078406
0,0,0.2767243450303268
0,0,0.23950211409628952
0,0,0.22523408051948182
0,0,0.3040479417913456
0,0,0.2936419534078971
0,0,0.3696965200423118
0,0,0.28519511772355616
0,0,0.4460999770826839
0,0,0.4607089658903297
0,0,0.39466135230747984
0,0,0.4353881989331765
0,0,0.4117628700210532
0,0,0.5452094588341561
0,0,0.4164405359817598
0,0,0.44614071273045136
0,0,0.4435850079743055
0,0,0.38986388871796035
0,0,0.30014841659386937
0,0,0.25453421650297686
0,0,0.17922658446685916
0,0,0.21398542373248902
0,0,0.3080270754768966
1,1,2.403204386642594
1,1,9.779517355241799
1,1,9.450437321784708
1,1,9.430637930083156
1,1,9.464166122461535
1,1,9.454640578668823
1,1,9.459963431662828
1,1,9.485142603999224
1,1,9.419074025087957
1,1,9.316772766320044
1,1,7.632588757068077
0,0,0.3737888315736105
0,0,0.3057238564265379
0,0,0.215274762374916
0,0,0.22290672687473317
0,0,0.3940687036115438
1,1,3.3084472730380163
1,1,10.311166790593827
1,1,10.006261931095745
1,1,10.034787811103559
1,1,10.111859874960912
1,1,10.226230426939392
1,1,10.216637020981635
1,1,10.246306908565874
1,1,10.198191180097805
1,1,10.052005278446595
1,1,7.388925921521744
0,0,0.2405722256430623
0,0,0.28647696523334626
0,0,0.3130089374344478
0,0,0.3182495051474498
0,0,0.4525421246589614
0,0,0.4794053296960064
0,0,0.480181700729919
0,0,0.38309600915268804
0,0,0.45299803384911264
0,0,0.4954622220876241
0,0,0.5127691761562226
0,0,0.5521833502756611
0,0,0.4873929651186412
0,0,0.3351637219148797
0,0,0.3706979766432121
0,0,0.2910916891507958
0,0,0.2548915354465325
0,0,0.30777497009561483
0,0,0.27853724914446065
0,0,0.32496380837385513
0,0,0.34089994722430794
0,0,0.4009859286012991
0,0,0.36932157025019186
0,0,0.4034493259224912
0,0,0.4052357966570942
0,0,0.36530893817116583
0,0,0.29836400801917945
0,0,0.207587608672594
0,0,0.11382844168365201
0,0,0.26422603841073494
0,0,0.2505537566632002
0,0,0.35341646338799765
0,0,0.34563169264061033
0,0,0.4001672622894749
0,0,0.444195254460239
0,0,0.3594351967187841
0,0,0.3979442134699078
0,0,0.37233969302944586
0,0,0.569485857952882
0,0,0.5723509523143735
0,0,0.42416422243944113
0,0,0.4072998651992779
0,0,0.4462819121922578
0,0,0.38759406689840203
0,0,0.3991709230293556
0,0,0.37633983853646685
0,0,0.4820181101258246
0,0,0.4363211345292243
0,0,0.47285534202042023
0,0,0.39983595917573256
0,0,0.3184440612919386
0,0,0.24602097215981442
0,0,0.2701414710332808
0,0,0.29560550981576644
0,0,0.30168188977789634
0,0,0.35810508500743643
0,0,0.37976999951781537
0,0,0.43341108836405956
0,0,0.45966435155131874
0,0,0.4614164735894647
