if_score,lstm_score,fusion_score,severity,anomaly
0.15646848372472372,0.32821500561785566,0.26810372295525947,WEAK,False
0.17257643721266153,0.26839683149980653,0.2348596934993058,WEAK,False
0.04416311042585003,0.2799764282365431,0.19744176700280056,WEAK,False
0.08432689319556985,0.36501094230479986,0.2667715251165694,WEAK,False
0.11204582302526406,0.26186863729602705,0.20943065230126,WEAK,False
0.14828708043201627,0.23147546935394447,0.2023595332312696,WEAK,False
0.035236974493658535,0.2837760208511512,0.19678735462602878,WEAK,False
0.07341351721266087,0.29074346390158634,0.21467798256046244,WEAK,False
0.11464733032386604,0.33309876054498366,0.2566407599675925,WEAK,False
0.05333824869030446,0.47568094793527665,0.32786100319953637,WEAK,False
0.09950143971013908,0.5082927476485742,0.36521578987012193,MODERATE,False
0.04177492195718979,0.5459203649113509,0.3694694598773945,MODERATE,False
0.08028288198869138,0.4260098147865446,0.30500538830729595,WEAK,False
0.0989187722037595,0.4267150879916655,0.3119863774658984,WEAK,False
0.1322747256448965,0.5181660176935722,0.38310406547653575,MODERATE,False
0.03131999360574983,0.46848012627195246,0.31547407983878156,WEAK,False
0.08254402843020758,0.4356693538946727,0.3120754899821099,WEAK,False
0.03369831535774165,0.3787272630438696,0.25796713135372484,WEAK,False
0.07855697254423649,0.4115649891586548,0.2950121833436084,WEAK,False
0.11397928282543046,0.3380323670904761,0.25961378759771014,WEAK,False
0.11352800745185487,0.31927823909166336,0.2472656580177304,WEAK,False
0.030228726104517656,0.4327503049608682,0.29186775236114554,WEAK,False
0.06842154164749392,0.40366352619690055,0.28632883160460826,WEAK,False
0.10671168182266849,0.39362921652455746,0.2932080793788963,WEAK,False
0.11249718643152834,0.40799588372159273,0.30457133967007016,WEAK,False
0.1277839716522286,0.3875453873054312,0.2966288918268103,WEAK,False
0.11682453721364666,0.371008572983782,0.28204416046423464,WEAK,False
0.029089352346149677,0.45869337799209625,0.30833196901601495,WEAK,False
0.06752719961685183,0.428414765957526,0.30210411773829005,WEAK,False
0.14407206850530868,0.37612489143352656,0.2949064034086503,WEAK,False
0.1373406103576426,0.3983569710948258,0.3070012448368117,WEAK,False
0.035236974493658535,0.34365777619453397,0.23571049559922758,WEAK,False
0.07690181930918516,0.30991648324693527,0.22836135086872272,WEAK,False
0.03647321994620761,0.3453898531245244,0.23726903151211354,WEAK,False
0.0774258813572038,0.3758097681994292,0.2713754078046503,WEAK,False
0.11514224223221908,0.37019026056024384,0.2809234541454352,WEAK,False
0.03640736176887249,0.48605491726113714,0.32867827283884454,WEAK,False
0.08239676390096318,0.41580580257296174,0.2991126390377622,WEAK,False
0.03647321994620761,0.35933115130781557,0.2463308753312528,WEAK,False
0.07736693306206716,0.32346285764794974,0.23732928404289083,WEAK,False
0.06144426471600328,0.29907485153999563,0.2159041461515983,WEAK,False
0.07837702039262157,0.37023982776952724,0.26808784518761025,WEAK,False
0.10505104809901017,0.2697721520209462,0.21211976564826857,WEAK,False
0.11031595887315365,0.3846708268195071,0.28864662303828337,WEAK,False
0.04167618222411734,0.4319684870332982,0.29536618035008494,WEAK,False
0.08278913614136818,0.3833575770062011,0.2781586227035096,WEAK,False
0.11138349226809341,0.36752244346147583,0.277873810543792,WEAK,False
0.058517950042443256,0.3739688331580598,0.263561024067594,WEAK,False
0.09950143971013908,0.4464711422096596,0.3250317463348274,WEAK,False
0.12653420520331282,0.40748353196759385,0.3091512676000955,WEAK,False
0.037243644222486105,0.5384429894807667,0.3630232186403685,WEAK,False
0.0774258813572038,0.6090947495099286,0.4230106456564749,MODERATE,False
0.03355029691150385,0.4287828409667993,0.2904514505474459,WEAK,False
0.07799235536548277,0.5374734944923705,0.3766550957979598,MODERATE,False
